city,latitude,longitude,nearest_distance
Schafstedt,54.05491,9.30009,18.30109369474683
Schafstedt,54.06317,9.30506,18.71701695941671
Schafstedt,54.08302,9.29802,19.214482243991306
Schafstedt,54.09647,9.31517,19.11713026571676
Schalkholz,54.2468,9.2566,12.593535618788785
Schlichting,54.31738,9.09062,13.102731796066172
Schmedeswurth,53.9266,9.04065,7.478071671047203
Schrum,54.18599,9.25188,11.257589959738615
Schülp,54.24336,8.93267,10.659692153260538
Stelle-Wittenwurth,54.25436,9.06685,6.142223855050583
Stelle-Wittenwurth,54.26653,9.05073,7.67688540933943
Strübbel,54.26051,8.97164,9.710917870024879
Süderdeich,54.20031,8.91147,10.857779879883996
Süderhastedt,54.05092,9.20909,17.297239134963633
Wöhrden,54.14499,9.01612,7.283198685921136
Wöhrden,54.16595,8.99784,6.427831724276268
Tellingstedt,54.22893,9.20517,8.738202554619525
Tellingstedt,54.21981,9.28089,13.22639047807912
Tielenhemme,54.27492,9.37292,18.763301424456532
Trennewurth,54.0,9.03033,13.438021335538213
Volsemenhusen,53.96651,9.06408,9.12115684997351
Wallen,54.28467,9.26951,15.499380143463686
Warwerort,54.14016,8.92242,12.102808717182713
Weddingstedt,54.23174,9.07757,3.5681005145603235
Weddingstedt,54.22226,9.08427,2.521546989713657
Weddingstedt,54.23483,9.09015,3.9576673482100504
Welmbüttel,54.19754,9.24681,10.825277963609715
Wennbüttel,54.13901,9.32462,17.268137210909437
Wesselburen,54.21198,8.9234,10.17636087965546
Wesselburener Deichhausen,54.1753,8.93817,9.509124465199557
Wesselburenerkoog,54.23952,8.87675,13.847358393533332
Wesseln,54.20874,9.07682,1.0327751328945203
Westerborstel,54.21996,9.26093,11.95223639865573
Westerdeichstrich,54.16243,8.86268,14.627140061794448
Wiemerstedt,54.26851,9.11163,7.91605517716526
Windbergen,54.04515,9.12026,16.231674041247935
Wolmersdorf,54.07651,9.10395,13.766892314166242
Wrohm,54.21301,9.37934,19.495888437062337
Nordermeldorf,54.11281,9.01492,10.4788807764206
Nordermeldorf,54.12623,8.99376,9.82709205582313
Nordermeldorf,54.13081,9.01639,8.630004126538322
Nordermeldorf,54.10555,9.03316,10.84440482595183
Tensbüttel-Röst,54.12487,9.24413,13.520738891458203
Tensbüttel-Röst,54.10574,9.22861,14.22175953380431
Süderdorf,54.20899,9.34893,17.493307657295563
Oesterwurth,54.21642,8.98192,6.552630132131668
Oesterwurth,54.229,8.95557,8.637324537140746
Süderheistedt,54.25411,9.15066,7.579752128040507
Süderheistedt,54.23442,9.14637,5.769880984526892
Albsfelde,53.68019,10.69542,4.852569740517048
Alt-Mölln,53.62211,10.66047,9.807191191864218
Aumühle,53.5251,10.31369,5.078724120948177
Aumühle,53.52852,10.34068,6.893291756456662
Bäk,53.71256,10.78546,2.5649596682791356
Bälau,53.61601,10.62186,12.19147704448715
Basedow,53.41825,10.58423,9.969210113756349
Basthorst,53.5762,10.47213,15.743250013669426
Behlendorf,53.69919,10.66907,6.838099360249801
Berkenthin,53.73338,10.63946,10.235400457635219
Besenthal,53.52996,10.74153,17.052885179884733
Besenthal,53.55543,10.73189,14.334691923051569
Besenthal,53.54348,10.73758,15.591330446932362
Bliestorf,53.76713,10.59899,10.497271494374159
Börnsen,53.47602,10.28476,3.424188746498638
Borstorf,53.61316,10.56423,15.541093399125423
Breitenfelde,53.60682,10.63324,12.280389848356098
Bröthen,53.47982,10.66714,11.900049577059747
Brunsmark,53.61575,10.74962,7.526089092526494
Brunstorf,53.49267,10.4245,7.263835043974413
Buchholz,53.73287,10.74406,5.325743969913057
Buchhorst,53.38489,10.56792,9.982763309850041
Büchen,53.48296,10.61645,13.548226746012794
Büchen,53.48468,10.58669,14.5737910286516
Dahmker,53.58741,10.44437,13.529638915685526
Dalldorf,53.43444,10.61109,9.522192547118895
Dassendorf,53.48963,10.37439,6.489993552493824
Düchelsdorf,53.7365,10.5826,13.660949177000008
Duvensee,53.69485,10.56805,13.303711401961504
Einhaus,53.71195,10.73488,3.828655735051834
Elmenhorst,53.54592,10.53586,16.142613826604826
Escheburg,53.46598,10.30974,5.377872057578283
Fitzen,53.49578,10.64813,13.975787730068106
Fredeburg,53.67406,10.72641,2.9564236426379087
Fuhlenhagen,53.57449,10.52646,18.421901878081663
Geesthacht,53.43658,10.36937,1.195840122687058
Giesensdorf,53.68847,10.71396,3.685946352391458
Göldenitz,53.72198,10.63169,10.05073426212186
Göttin,53.53105,10.7034,17.138876624252113
Grabau,53.51367,10.52075,12.78510033803061
Grambek,53.5736,10.68053,13.436386058436716
Grinau,53.77486,10.54949,12.239611539947179
Groß Boden,53.75239,10.45321,8.890246705966346
Groß Disnack,53.74264,10.69143,8.24889285636275
Groß Grönau,53.80162,10.75067,4.702462656096317
Groß Pampau,53.52174,10.56139,15.3633701875722
Groß Sarau,53.7718,10.73713,7.3641136194072745
Groß Schenkenberg,53.79439,10.56685,9.970765429579183
Grove,53.5285,10.49483,12.97893392463205
